,holiday,temp,rain_1h,snow_1h,clouds_all,traffic_volume,hour,month,weekend,MIST,THUNDERSTORM,SNOW,RAIN,SQUALL,HAZE,FOG,DRIZZLE,CLEAR,CLOUDS,SMOKE,predictions
82,0,0.712207558488302,0.19054467014201001,0.0,90,2957,0.826086956521739,9,5,0,0,0,1,0,0,0,0,0,0,0,3055.127825995416
83,0,0.712207558488302,0.19054467014201001,0.0,90,2957,0.826086956521739,9,5,0,1,0,0,0,0,0,0,0,0,0,3036.0443954485295
84,0,0.712207558488302,0.19054467014201001,0.0,90,2957,0.826086956521739,9,5,1,0,0,0,0,0,0,0,0,0,0,2981.611137210802
85,0,0.712207558488302,0.19054467014201001,0.0,90,2957,0.826086956521739,9,5,0,0,0,0,0,1,0,0,0,0,0,3061.1786693066683
100,0,0.7125074985003,0.17292827611001302,0.0,90,3898,0.7826086956521741,9,5,0,0,0,1,0,0,0,0,0,0,0,3748.5647948988185
101,0,0.7125074985003,0.17292827611001302,0.0,90,3898,0.7826086956521741,9,5,0,1,0,0,0,0,0,0,0,0,0,3660.1538696488255
102,0,0.7125074985003,0.17292827611001302,0.0,90,3898,0.7826086956521741,9,5,1,0,0,0,0,0,0,0,0,0,0,3610.2882256193666
103,0,0.7125074985003,0.17292827611001302,0.0,90,3898,0.7826086956521741,9,5,0,0,0,0,0,0,1,0,0,0,0,3792.1270265486964
104,0,0.7125074985003,0.17292827611001302,0.0,90,3898,0.7826086956521741,9,5,0,0,0,0,0,1,0,0,0,0,0,3928.4227752358483
184,0,0.7170065986802641,0.127808736293367,0.0,90,2740,0.8695652173913041,9,5,0,0,0,1,0,0,0,0,0,0,0,2705.73128795101
185,0,0.7170065986802641,0.127808736293367,0.0,90,2740,0.8695652173913041,9,5,0,1,0,0,0,0,0,0,0,0,0,2723.074157110206
186,0,0.7170065986802641,0.127808736293367,0.0,90,2740,0.8695652173913041,9,5,1,0,0,0,0,0,0,0,0,0,0,2648.407899428461
187,0,0.7170065986802641,0.127808736293367,0.0,90,2740,0.8695652173913041,9,5,0,0,0,0,0,0,0,1,0,0,0,2582.0506559734463
252,0,0.7257048590281941,0.10497932770088099,0.0,90,4971,0.5217391304347829,8,6,0,0,0,1,0,0,0,0,0,0,0,5212.429823269745
253,0,0.7257048590281941,0.10497932770088099,0.0,90,4971,0.5217391304347829,8,6,0,1,0,0,0,0,0,0,0,0,0,5186.647479423549
254,0,0.7257048590281941,0.10497932770088099,0.0,90,4971,0.5217391304347829,8,6,1,0,0,0,0,0,0,0,0,0,0,5170.503696407205
262,0,0.7383023395320941,0.10102462699982001,0.0,90,5750,0.7391304347826091,8,6,0,0,0,1,0,0,0,0,0,0,0,5108.860990251477
263,0,0.7383023395320941,0.10102462699982001,0.0,90,5750,0.7391304347826091,8,6,0,1,0,0,0,0,0,0,0,0,0,4929.258362420415
264,0,0.7383023395320941,0.10102462699982001,0.0,90,5750,0.7391304347826091,8,6,1,0,0,0,0,0,0,0,0,0,0,4998.389053226953
283,0,0.713557288542292,0.0974294445443106,0.0,90,6331,0.695652173913043,9,5,0,0,0,1,0,0,0,0,0,0,0,6039.681166968195
284,0,0.713557288542292,0.0974294445443106,0.0,90,6331,0.695652173913043,9,5,0,1,0,0,0,0,0,0,0,0,0,5928.2729961478935
285,0,0.713557288542292,0.0974294445443106,0.0,90,6331,0.695652173913043,9,5,1,0,0,0,0,0,0,0,0,0,0,6084.153386421544
298,0,0.7155068986202758,0.0932949847204746,0.0,90,5065,0.7391304347826091,9,5,0,0,0,1,0,0,0,0,0,0,0,5736.061251163963
